clue,state
GIA,GEORGIA
HAW,HAWAII
WAI,HAWAII
AII,HAWAII
DAH,IDAHO
ILL,ILLINOIS
LLI,ILLINOIS
INO,ILLINOIS
NOI,ILLINOIS
OIS,ILLINOIS
IND,INDIANA
NDI,INDIANA
DIA,INDIANA
IOW,IOWA
OWA,IOWA
KEN,KENTUCKY
ENT,KENTUCKY
NTU,KENTUCKY
TUC,KENTUCKY
UCK,KENTUCKY
CKY,KENTUCKY
LOU,LOUISIANA
OUI,LOUISIANA
UIS,LOUISIANA
ISI,LOUISIANA
SIA,LOUISIANA
MAI,MAINE
AIN,MAINE
INE,MAINE
MAR,MARYLAND
ARY,MARYLAND
RYL,MARYLAND
YLA,MARYLAND
MAS,MASSACHUSETTS
ASS,MASSACHUSETTS
SSA,MASSACHUSETTS
SAC,MASSACHUSETTS
ACH,MASSACHUSETTS
CHU,MASSACHUSETTS
HUS,MASSACHUSETTS
USE,MASSACHUSETTS
SET,MASSACHUSETTS
ETT,MASSACHUSETTS
TTS,MASSACHUSETTS
MIC,MICHIGAN
ICH,MICHIGAN
CHI,MICHIGAN
HIG,MICHIGAN
IGA,MICHIGAN
GAN,MICHIGAN
INN,MINNESOTA
ESO,MINNESOTA
SOT,MINNESOTA
SSI,MISSISSIPPI
SIS,MISSISSIPPI
SSI,MISSISSIPPI
SIP,MISSISSIPPI
IPP,MISSISSIPPI
PPI,MISSISSIPPI
SSO,MISSOURI
OUR,MISSOURI
URI,MISSOURI
NTA,MONTANA
TAN,MONTANA
NEB,NEBRASKA
EBR,NEBRASKA
BRA,NEBRASKA
RAS,NEBRASKA
NEV,NEVADA
EVA,NEVADA
VAD,NEVADA
ADA,NEVADA
EWH,NEWHAMPSHIRE
WHA,NEWHAMPSHIRE
HAM,NEWHAMPSHIRE
AMP,NEWHAMPSHIRE
MPS,NEWHAMPSHIRE
PSH,NEWHAMPSHIRE
HIR,NEWHAMPSHIRE
IRE,NEWHAMPSHIRE
EWJ,NEWJERSEY
WJE,NEWJERSEY
JER,NEWJERSEY
ERS,NEWJERSEY
RSE,NEWJERSEY
SEY,NEWJERSEY
EWM,NEWMEXICO
WME,NEWMEXICO
MEX,NEWMEXICO
EXI,NEWMEXICO
XIC,NEWMEXICO
ICO,NEWMEXICO
EWY,NEWYORK
YOR,NEWYORK
ORK,NEWYORK
OHI,OHIO
HIO,OHIO
OKL,OKLAHOMA
KLA,OKLAHOMA
LAH,OKLAHOMA
HOM,OKLAHOMA
OMA,OKLAHOMA
ORE,OREGON
REG,OREGON
EGO,OREGON
GON,OREGON
PEN,PENNSYLVANIA
NNS,PENNSYLVANIA
NSY,PENNSYLVANIA
SYL,PENNSYLVANIA
YLV,PENNSYLVANIA
LVA,PENNSYLVANIA
VAN,PENNSYLVANIA
ANI,PENNSYLVANIA
RHO,RHODEISLAND
HOD,RHODEISLAND
ODE,RHODEISLAND
DEI,RHODEISLAND
EIS,RHODEISLAND
ISL,RHODEISLAND
SLA,RHODEISLAND
TEN,TENNESSEE
ESS,TENNESSEE
SSE,TENNESSEE
SEE,TENNESSEE
TEX,TEXAS
EXA,TEXAS
XAS,TEXAS
UTA,UTAH
TAH,UTAH
VER,VERMONT
ERM,VERMONT
RMO,VERMONT
WAS,WASHINGTON
ASH,WASHINGTON
HIN,WASHINGTON
NGT,WASHINGTON
GTO,WASHINGTON
TON,WASHINGTON
WES,WESTVIRGINIA
EST,WESTVIRGINIA
STV,WESTVIRGINIA
TVI,WESTVIRGINIA
WIS,WISCONSIN
ISC,WISCONSIN
SCO,WISCONSIN
ONS,WISCONSIN
NSI,WISCONSIN
SIN,WISCONSIN
YOM,WYOMING
OMI,WYOMING
ALAB,ALABAMA
LABA,ALABAMA
ABAM,ALABAMA
BAMA,ALABAMA
ALAS,ALASKA
LASK,ALASKA
ARIZ,ARIZONA
RIZO,ARIZONA
IZON,ARIZONA
ZONA,ARIZONA
ARKA,ARKANSAS
RKAN,ARKANSAS
CALI,CALIFORNIA
ALIF,CALIFORNIA
LIFO,CALIFORNIA
IFOR,CALIFORNIA
FORN,CALIFORNIA
ORNI,CALIFORNIA
RNIA,CALIFORNIA
COLO,COLORADO
OLOR,COLORADO
LORA,COLORADO
ORAD,COLORADO
RADO,COLORADO
CONN,CONNECTICUT
ONNE,CONNECTICUT
NNEC,CONNECTICUT
NECT,CONNECTICUT
ECTI,CONNECTICUT
CTIC,CONNECTICUT
TICU,CONNECTICUT
ICUT,CONNECTICUT
DELA,DELAWARE
ELAW,DELAWARE
LAWA,DELAWARE
AWAR,DELAWARE
WARE,DELAWARE
FLOR,FLORIDA
LORI,FLORIDA
ORID,FLORIDA
RIDA,FLORIDA
GEOR,GEORGIA
EORG,GEORGIA
ORGI,GEORGIA
RGIA,GEORGIA
HAWA,HAWAII
AWAI,HAWAII
WAII,HAWAII
IDAH,IDAHO
DAHO,IDAHO
ILLI,ILLINOIS
LLIN,ILLINOIS
LINO,ILLINOIS
INOI,ILLINOIS
NOIS,ILLINOIS
INDI,INDIANA
NDIA,INDIANA
DIAN,INDIANA
IOWA,IOWA
KENT,KENTUCKY
ENTU,KENTUCKY
NTUC,KENTUCKY
TUCK,KENTUCKY
UCKY,KENTUCKY
LOUI,LOUISIANA
OUIS,LOUISIANA
UISI,LOUISIANA
ISIA,LOUISIANA
SIAN,LOUISIANA
MAIN,MAINE
AINE,MAINE
MARY,MARYLAND
ARYL,MARYLAND
RYLA,MARYLAND
YLAN,MARYLAND
MASS,MASSACHUSETTS
ASSA,MASSACHUSETTS
SSAC,MASSACHUSETTS
SACH,MASSACHUSETTS
ACHU,MASSACHUSETTS
CHUS,MASSACHUSETTS
HUSE,MASSACHUSETTS
USET,MASSACHUSETTS
SETT,MASSACHUSETTS
ETTS,MASSACHUSETTS
MICH,MICHIGAN
ICHI,MICHIGAN
CHIG,MICHIGAN
HIGA,MICHIGAN
IGAN,MICHIGAN
MINN,MINNESOTA
INNE,MINNESOTA
NESO,MINNESOTA
ESOT,MINNESOTA
SOTA,MINNESOTA
ISSI,MISSISSIPPI
SSIS,MISSISSIPPI
SISS,MISSISSIPPI
ISSI,MISSISSIPPI
SSIP,MISSISSIPPI
SIPP,MISSISSIPPI
IPPI,MISSISSIPPI
ISSO,MISSOURI
SSOU,MISSOURI
SOUR,MISSOURI
OURI,MISSOURI
ONTA,MONTANA
NTAN,MONTANA
TANA,MONTANA
NEBR,NEBRASKA
EBRA,NEBRASKA
BRAS,NEBRASKA
RASK,NEBRASKA
NEVA,NEVADA
EVAD,NEVADA
VADA,NEVADA
NEWH,NEWHAMPSHIRE
EWHA,NEWHAMPSHIRE
WHAM,NEWHAMPSHIRE
HAMP,NEWHAMPSHIRE
AMPS,NEWHAMPSHIRE
MPSH,NEWHAMPSHIRE
PSHI,NEWHAMPSHIRE
SHIR,NEWHAMPSHIRE
HIRE,NEWHAMPSHIRE
NEWJ,NEWJERSEY
EWJE,NEWJERSEY
WJER,NEWJERSEY
JERS,NEWJERSEY
ERSE,NEWJERSEY
RSEY,NEWJERSEY
NEWM,NEWMEXICO
EWME,NEWMEXICO
WMEX,NEWMEXICO
MEXI,NEWMEXICO
EXIC,NEWMEXICO
XICO,NEWMEXICO
NEWY,NEWYORK
EWYO,NEWYORK
WYOR,NEWYORK
YORK,NEWYORK
RTHC,NORTHCAROLINA
RTHD,NORTHDAKOTA
OHIO,OHIO
OKLA,OKLAHOMA
KLAH,OKLAHOMA
LAHO,OKLAHOMA
AHOM,OKLAHOMA
HOMA,OKLAHOMA
OREG,OREGON
REGO,OREGON
EGON,OREGON
PENN,PENNSYLVANIA
ENNS,PENNSYLVANIA
NNSY,PENNSYLVANIA
NSYL,PENNSYLVANIA
SYLV,PENNSYLVANIA
YLVA,PENNSYLVANIA
LVAN,PENNSYLVANIA
VANI,PENNSYLVANIA
ANIA,PENNSYLVANIA
RHOD,RHODEISLAND
HODE,RHODEISLAND
ODEI,RHODEISLAND
DEIS,RHODEISLAND
EISL,RHODEISLAND
ISLA,RHODEISLAND
SLAN,RHODEISLAND
UTHC,SOUTHCAROLINA
UTHD,SOUTHDAKOTA
TENN,TENNESSEE
ENNE,TENNESSEE
NESS,TENNESSEE
ESSE,TENNESSEE
SSEE,TENNESSEE
TEXA,TEXAS
EXAS,TEXAS
UTAH,UTAH
VERM,VERMONT
ERMO,VERMONT
RMON,VERMONT
WASH,WASHINGTON
ASHI,WASHINGTON
SHIN,WASHINGTON
HING,WASHINGTON
INGT,WASHINGTON
NGTO,WASHINGTON
GTON,WASHINGTON
WEST,WESTVIRGINIA
ESTV,WESTVIRGINIA
STVI,WESTVIRGINIA
TVIR,WESTVIRGINIA
WISC,WISCONSIN
ISCO,WISCONSIN
SCON,WISCONSIN
CONS,WISCONSIN
ONSI,WISCONSIN
NSIN,WISCONSIN
WYOM,WYOMING
YOMI,WYOMING
OMIN,WYOMING
MING,WYOMING
